date,epochs,best_epoch,hidden_dim,lstm_layer,batch_size,sequence_length,learning_rate,dropout,model_name,midi_method,train_loss,validation_loss,train_perplexities,validation_perplexities
28/07/2024 18:28,15,5,40,2,64,3,0.001,0.1,naive,graph,"[5.726411500458251, 5.094842019875192, 4.848757361074859, 4.696461855338381, 4.587940039939817, 4.506580914211039, 4.440280445292897, 4.387268631648, 4.342276557240944, 4.303589912102397, 4.269798902041409, 4.240250463364455, 4.21257050747359, 4.18879740955988, 4.1667506593089305]","[5.476062219547775, 5.245709941072284, 5.165347203668558, 5.13368885562105, 5.122234768237708, 5.122310896639554, 5.125202730466735, 5.126867135065907, 5.130963811334574, 5.130880885753991, 5.145891268748158, 5.1594252514389325, 5.166411647256815, 5.180700108690082, 5.186747247767898]","[306.8661013399902, 163.17806369713531, 127.5817532497115, 109.55885082499712, 98.29174440361939, 90.61147985252671, 84.79871974124376, 80.4204608223052, 76.8823673699149, 73.9648449516376, 71.50725421038558, 69.42523814007117, 67.52990301934788, 65.94344030590341, 64.50551082562137]","[238.90410080530063, 189.7504790807491, 175.09824277118673, 169.64174916954474, 167.70974355385755, 167.72251151460446, 168.20823913025734, 168.48843881522143, 169.18009718695174, 169.1660684108497, 171.7244691384348, 174.06438359573912, 175.28472420489527, 177.80725182939148, 178.8857345913909]"
28/07/2024 18:59,15,8,40,2,64,3,0.001,0.3,naive,graph,"[5.770113116703237, 5.194743184401815, 4.973823686815658, 4.8441098252704045, 4.75184264136104, 4.68054041283555, 4.625252177619465, 4.580775843671935, 4.541936865979477, 4.5098267351632435, 4.481273070136673, 4.45643915995112, 4.435380996593792, 4.414871413752718, 4.397096454852717]","[5.528570696093001, 5.2985507650195425, 5.219019495766118, 5.171662367514844, 5.15453027689232, 5.144341398635, 5.147215565195624, 5.132186534269801, 5.138036585753818, 5.136475858148539, 5.137580298477749, 5.140790838565467, 5.140477493574035, 5.15445505628046, 5.144813459324387]","[320.5739928697162, 180.3218273920375, 144.57865530287958, 126.99018820814051, 115.79746125435392, 107.82832864165253, 102.02849914282643, 97.59007948889915, 93.8724424944985, 90.90606632117739, 88.3470731341068, 86.18008857269778, 84.3842688835397, 82.67120984198671, 81.21471539726012]","[251.78377817731283, 200.04668514220964, 184.752944187969, 176.20751579733746, 173.2144248289693, 171.45852465895499, 171.9520338911968, 169.38708408999491, 170.38091138876152, 170.1152006019608, 170.30318648060154, 170.85083033372948, 170.79730346838792, 173.20139602397413, 171.53948259533286]"
28/07/2024 19:32,15,15,40,2,64,5,0.0001,0.1,naive,graph,"[6.450841687228846, 5.912256238284263, 5.8612842156049, 5.720505791821297, 5.556804455690569, 5.4032652631174285, 5.290557414231739, 5.205913728645448, 5.134786844942895, 5.071371513770071, 5.015924466143754, 4.965074991598843, 4.917622532937114, 4.874635375368354, 4.834719867659029]","[6.058935299572383, 6.052074695268058, 5.947746285920814, 5.806075364464589, 5.6589092501216065, 5.545459774510489, 5.467591608431856, 5.409799889466608, 5.361804645777656, 5.321849723279249, 5.287902099551356, 5.260332730333161, 5.234506111181281, 5.216149068150684, 5.198093514025438]","[633.2350544296473, 369.5389835288783, 351.1748387713545, 305.05918038099645, 258.9938861158397, 222.13054800602544, 198.45401567690735, 182.34741272545978, 169.82811629450526, 159.39278690099155, 150.79547766175216, 143.31929761363182, 136.67728087275995, 130.92640551397113, 125.80333668705018]","[427.91958806274846, 424.9938487405634, 382.88944261139136, 332.3123581690658, 286.8356059624545, 256.0722866917889, 236.8889837587244, 223.58684112153028, 213.10918623002672, 204.762285480372, 197.92775681634612, 192.54554638391653, 187.636411929879, 184.2233846297314, 180.9269781132758]"
28/07/2024 20:05,15,15,40,2,64,5,0.0001,0.3,naive,graph,"[6.408650295048004, 5.9128901356756565, 5.861003789661444, 5.734258917036848, 5.577359870956339, 5.437563831379767, 5.340692572729591, 5.267975027036293, 5.209050439104272, 5.15690537456243, 5.109805726552, 5.0664332428041545, 5.026769669377966, 4.989672453627021, 4.957607072328349]","[6.060529772319721, 6.05541995994945, 5.956276231845522, 5.816958509017306, 5.6788264590071185, 5.576219745461931, 5.507740015312746, 5.45458989995514, 5.412361097879736, 5.373665220383908, 5.338588806159596, 5.307981365987104, 5.283632389039594, 5.262015163218567, 5.245125992669806]","[607.0737574018417, 369.7733075874138, 351.0763740425516, 309.28368094158554, 264.37270554052026, 229.88147071722778, 208.65717052485118, 194.02267371164476, 182.92028175453018, 173.62631495181986, 165.63817264883403, 158.60760245170533, 152.43978557382525, 146.88830288441633, 142.25298718490583]","[428.60243843244916, 426.41794631616006, 386.16943805622174, 335.94871319676736, 292.6058434035597, 264.0714592408334, 246.59319999580188, 233.82895813764375, 224.1602275877549, 215.65183244838605, 208.21866596226005, 201.94216933411485, 197.0844641813437, 192.86976400380723, 189.63970693737627]"
28/07/2024 20:37,15,5,40,2,64,5,0.001,0.1,naive,graph,"[5.74580609704876, 5.011330660883428, 4.710538719764971, 4.537484901102059, 4.4178253911044765, 4.327375983660106, 4.255560771338657, 4.195867397626635, 4.14714325542836, 4.105327361381433, 4.068786025293501, 4.038707154981856, 4.011636475204979, 3.987304875103219, 3.9656912403035784]","[5.448926346383621, 5.201184476736381, 5.133350439398008, 5.115964449857124, 5.103173946699715, 5.115036940846607, 5.118574332828304, 5.134369099548108, 5.136902807329998, 5.153503145101859, 5.164219768328358, 5.177715431148108, 5.187176752453068, 5.195301695921575, 5.198762058758463]","[312.87573441135504, 150.1043412916058, 111.11200201679982, 93.45545457406807, 82.91577977267778, 75.74526874751032, 70.49633843227954, 66.41131161536742, 63.25304415791496, 60.66259988999385, 58.48591905167178, 56.752922621959385, 55.237190933138955, 53.9094008281628, 52.75672436278674]","[232.50839836699802, 181.48708183995592, 169.5843493625813, 166.6614400991264, 164.54333113926174, 166.5069317767359, 167.09697505400442, 169.75718619741005, 170.18784665459432, 173.0366021259703, 174.9009420670721, 177.2773457108821, 178.9625833547785, 180.42256733949213, 181.04797633341025]"
28/07/2024 21:08,15,8,40,2,64,5,0.001,0.3,naive,graph,"[5.761394463113299, 5.1156259624980684, 4.864459373989365, 4.713798103624018, 4.608652102656721, 4.529763300721186, 4.468976938049934, 4.41853373703608, 4.378341499117473, 4.346047299699023, 4.316842499866509, 4.294154500035598, 4.272245948938041, 4.253702572976593, 4.237058816001416]","[5.4816419044828235, 5.265043691990494, 5.177887206748411, 5.147448709255842, 5.120100605170537, 5.123498411686248, 5.116384019416548, 5.111519851612048, 5.1198955398095425, 5.12299598124544, 5.122385030463621, 5.130476681451833, 5.130539539649006, 5.130044638883931, 5.136714012450592]","[317.7911681463187, 166.60503685484198, 129.60085407604052, 111.47474952827193, 100.34879855822457, 92.73660779586577, 87.26739737466572, 82.97453363451835, 79.70573169779817, 77.17281824040109, 74.95159460203958, 73.27023826444254, 71.68245008372352, 70.36546388476616, 69.20401048995281]","[240.2408362307089, 193.45476102635254, 177.30780024896012, 171.99212816022975, 167.35220527136417, 167.9218028279941, 166.7313808375982, 165.92234067165748, 167.31789064946742, 167.83745499381203, 167.73494588666324, 169.09770457562783, 169.10833408655594, 169.0246629487988, 170.15571909346383]"
28/07/2024 23:04,15,15,40,2,16,3,0.0001,0.1,merge,graph,"[6.056012762181025, 5.665049046733487, 5.40213912987736, 5.252760658436328, 5.146069157342444, 5.059087242049576, 4.987806386856657, 4.929994022067308, 4.881768349978065, 4.840477955330334, 4.803583393024535, 4.771195646358986, 4.741536457558903, 4.71409006018017, 4.689347975559022]","[5.939541663988582, 5.67001770734787, 5.4945354137780535, 5.394882869720459, 5.3188666467396715, 5.265482075259371, 5.224101994172582, 5.194582700279524, 5.169683298974667, 5.150264229639522, 5.1318535075997405, 5.1199906452646795, 5.109156461481778, 5.099378992026707, 5.091171823357636]","[426.6708027658488, 288.6021357615293, 221.8805402097471, 191.09308367918953, 171.75501968007026, 157.44673995317584, 146.61445509204748, 138.37868511902244, 131.86363889739314, 126.52981287861118, 121.94661817371181, 118.06031599349596, 114.61016011604615, 111.50730006368195, 108.7822280073709]","[379.7608315786688, 290.03967017959985, 243.35843891560134, 220.27634455558112, 204.15237406886376, 193.53958694864514, 185.69434102987194, 180.29289092382257, 175.8591338958202, 172.47705784726384, 169.33068306547315, 167.33380425033334, 165.5306644734659, 163.92008000872607, 162.5802658248921]"
28/07/2024 23:35,15,15,40,2,16,3,0.0001,0.3,merge,graph,"[6.060518056946004, 5.703921079317696, 5.447959935020723, 5.298721801245417, 5.201932156045616, 5.128290327014232, 5.071382247162961, 5.022649239559567, 4.9819169049874885, 4.945808269094964, 4.913780547910036, 4.884481091171133, 4.856665573849875, 4.832469012874471, 4.809517539333767]","[5.939659845604087, 5.706244377370151, 5.5207666460073215, 5.4180955128849675, 5.351578691320599, 5.299776159367472, 5.262208202649962, 5.235694922816078, 5.210948739636619, 5.189419517427121, 5.172547952409061, 5.158257927084869, 5.146124616209066, 5.1316494811255975, 5.119049279869728]","[428.59741722411985, 300.0415842802694, 232.28380814959579, 200.08090329842383, 181.62282671643516, 168.728400920294, 159.3944977355787, 151.81296041721944, 145.75350966682203, 140.5844349960258, 136.15317625184377, 132.2218364514644, 128.59469690850642, 125.52049008748233, 122.67241862102766]","[379.80571497939457, 300.73948070546567, 249.82649227400356, 225.44934800357254, 210.9410459427044, 200.2919714750545, 192.9069990671858, 187.85960892279738, 183.26784921213388, 179.36440479548915, 176.36363162828292, 173.8613125495412, 171.7645452829356, 169.29613864735083, 167.17635611734553]"
29/07/2024 0:05,15,8,40,2,16,3,0.001,0.1,merge,graph,"[5.331203753232393, 4.800279827506277, 4.630112386309852, 4.532848577986547, 4.469602599023171, 4.423639468993147, 4.386356204262097, 4.356973817818274, 4.3334755266565015, 4.312688976841128, 4.29456868708739, 4.279756522053926, 4.266711216949171, 4.255357125243452, 4.245004935342356]","[5.197265170655161, 5.09756094824593, 5.068176551360004, 5.059326286135979, 5.062881733786385, 5.055709867432433, 5.053740630284795, 5.051039572256916, 5.051440375256089, 5.05933462808717, 5.066622104959668, 5.073090248062925, 5.065856866341717, 5.071092456916593, 5.0822007800048254]","[206.68662416158645, 121.54442423364098, 102.52558593530235, 93.02316777474695, 87.32201426348522, 83.39926271627134, 80.34711645725604, 78.0206720468708, 76.2086921697715, 74.64092705710136, 73.30059213406933, 72.22285319445633, 71.28680284491556, 70.48198358993498, 69.75610441331034]","[180.7771705050868, 163.62233686376877, 158.88434559634, 157.48438116406035, 158.04530521419747, 156.9158802906919, 156.60717976220235, 156.18474544870892, 156.2473573097825, 157.48569489656077, 158.63756025424377, 159.66697631174605, 158.5162111033296, 159.3483134570101, 161.12827389112508]"
29/07/2024 0:39,15,8,40,2,16,3,0.001,0.3,merge,graph,"[5.391812745088528, 4.899099786632036, 4.750732752442641, 4.666628810146158, 4.609889466697246, 4.567867475823263, 4.5349774134197, 4.510308295570895, 4.492013975588135, 4.472917012696829, 4.45793838202128, 4.446670693120586, 4.436768360511622, 4.427669506853624, 4.417604534084803]","[5.239652473971529, 5.129597893076123, 5.093324595577312, 5.088890152607324, 5.0777530739892205, 5.082290159531359, 5.072684926356909, 5.05388591626905, 5.062530212357359, 5.065759778247689, 5.07003049085725, 5.0591734366596866, 5.0564011663760775, 5.059939865571148, 5.064225933686743]","[219.60110578829625, 134.16894462690962, 115.66901023169837, 106.33864971069313, 100.47304340527114, 96.33844649353077, 93.22140972778854, 90.94985362580296, 89.30111515908023, 87.61191570283007, 86.30938856397596, 85.34233965895602, 84.5014218215096, 83.73604306552305, 82.89746926275004]","[188.6045460262196, 168.94916875382333, 162.93064110840004, 162.2097340642713, 160.41321406478207, 161.14267610357854, 159.60227293424043, 156.62993424336904, 157.98975866613063, 158.50082181359164, 159.17918077898233, 157.46031159843224, 157.02439357621628, 157.58103999260507, 158.25789254564333]"
29/07/2024 1:17,15,15,40,2,16,5,0.0001,0.1,merge,graph,"[6.050346175246779, 5.640786560181128, 5.337183656832375, 5.150174310916072, 5.0208105367216485, 4.92211951184583, 4.845806401565385, 4.783797785507404, 4.730434687195226, 4.6834455112168865, 4.6423846951350525, 4.605314957950263, 4.571311029514185, 4.541356813535787, 4.512880787945956]","[5.957028524050695, 5.628148387140194, 5.4202969314480915, 5.3086600967686435, 5.235340798762361, 5.1828677717723775, 5.150513404449129, 5.123242978813984, 5.102276572256487, 5.08822981712936, 5.07281649022048, 5.062068463958261, 5.054522393320903, 5.045064750279764, 5.039172616748302]","[424.25987289281534, 281.68419293218074, 207.92629310573582, 172.461549627648, 151.5340779656162, 137.29329979606194, 127.20581961699564, 119.55754283908944, 113.34482118420564, 108.1420359993899, 103.79156393588654, 100.01447824421379, 96.67076495637825, 93.81800734398169, 91.18412262918685]","[386.4600596168083, 278.1466206701732, 225.94620307564452, 202.0792802259606, 187.7930950943243, 178.1930960840371, 172.52004014014457, 167.8789155572245, 164.3957403910809, 162.1026565794194, 159.62327220724475, 157.91682398802396, 156.72965733451124, 155.25435163561048, 154.34226198022196]"
29/07/2024 2:30,15,15,40,2,16,5,0.0001,0.3,merge,graph,"[6.049951834512186, 5.673217832488084, 5.387780684820016, 5.221962921236744, 5.11418661039936, 5.032795005286929, 4.966252787894785, 4.9111129741387, 4.863682180735426, 4.821094087913149, 4.783669679846012, 4.750639057730722, 4.719683785153873, 4.690877286517603, 4.66574069848363]","[5.959408939564636, 5.662296883733553, 5.464502605195281, 5.356159968521205, 5.287240205382213, 5.2354254781519955, 5.201305949642631, 5.173010049890656, 5.150768988259392, 5.134308861915603, 5.118027955180339, 5.105197898788597, 5.095950409939987, 5.083905770071559, 5.075233940162586]","[424.0926029257287, 290.969320124518, 218.717443581542, 185.29755182246097, 166.3654060433162, 153.36105919209515, 143.48819799709628, 135.7904616091122, 129.50016829776976, 124.1007937092293, 119.5422278219808, 115.65817316480263, 112.13278900841486, 108.94871713513662, 106.2442510401923]","[387.38109092193326, 287.8089476339533, 236.15836194871514, 211.90964235740674, 197.7967929350938, 187.80899797230794, 181.50912894226957, 176.44514765102718, 172.56413910460086, 169.74696073439472, 167.00570193885792, 164.87669620169063, 163.35902891322678, 161.4032303299699, 160.00962027780778]"
29/07/2024 3:16,15,3,40,2,16,5,0.001,0.1,merge,graph,"[5.246329465869832, 4.642540860707985, 4.4574474359292475, 4.348118355588907, 4.275505108543724, 4.223372730729108, 4.184259455845735, 4.153230654063044, 4.127864275557816, 4.108340990664027, 4.09172668207827, 4.077160333902524, 4.0652765310689745, 4.054171688717719, 4.045653153342468]","[5.1352951114168635, 5.06018233525889, 5.053873681523501, 5.061509943960284, 5.056855420649279, 5.059935497467055, 5.065429858608391, 5.065685313690751, 5.076319426638092, 5.079469109896018, 5.087030883297721, 5.0919068648334695, 5.105119164905621, 5.1017131905138715, 5.096208495332261]","[189.8680706295654, 103.8077738706181, 86.26702570674526, 77.33281308209797, 71.91645575324927, 68.26333029895973, 65.64486998755824, 63.639265000012095, 62.04526973075268, 60.845690222005324, 59.843132610969846, 58.97775470453684, 58.28102280793701, 57.63740150825352, 57.14850058092935]","[169.91445617232887, 157.61925325075734, 156.62801792770105, 157.82864890987403, 157.09573878120037, 157.58035166372272, 158.44853790484873, 158.48901955955117, 160.18340285882715, 160.68872522595473, 161.90842268031088, 162.69981299410674, 164.86371533021034, 164.3031489170028, 163.40119493326824]"
